model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-08,256,64,,2026-05-25T14:40:02.950353
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,15,100,1e-06,512,128,,2026-05-25T14:47:05.901303
mitra_ft,open_tata,outo_uts,uts,0,1.8334,12.4288,0.7244,19303,6578,4386,5,100,1e-08,512,128,,2026-05-25T14:50:08.863348
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,5e-08,256,64,,2026-05-25T14:50:16.909505
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,15,100,5e-06,512,128,,2026-05-25T14:54:55.568237
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,5e-08,256,64,,2026-05-25T15:00:05.653542
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,15,100,5e-06,512,128,,2026-05-25T15:02:04.913087
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,15,100,1e-05,512,128,,2026-05-25T15:08:06.646696
tabpfn2_talent_ft,open_tata,outo_uts,uts,0,1.0194,7.0018,0.7811,19303,6578,4386,15,100,1e-06,512,128,,2026-05-25T15:09:44.491056
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-07,256,64,,2026-05-25T15:10:22.688328
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,15,100,1e-05,512,128,,2026-05-25T15:15:48.312051
mitra_ft,open_tata,outo_ys,ys,0,3.6739,15.1546,0.9257,19303,6578,4386,5,100,1e-08,512,128,,2026-05-25T15:19:58.876832
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-07,256,64,,2026-05-25T15:20:18.327847
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,15,100,5e-05,512,128,,2026-05-25T15:23:39.782402
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,5e-07,256,64,,2026-05-25T15:30:32.493588
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,15,100,5e-05,512,128,,2026-05-25T15:31:19.984280
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,5e-07,256,64,,2026-05-25T15:39:45.362970
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-06,256,64,,2026-05-25T15:49:24.726163
mitra_ft,open_tata,outo_uts,uts,0,1.8332,12.4273,0.7244,19303,6578,4386,5,100,5e-08,512,128,,2026-05-25T15:50:22.762728
tabpfn2_talent_ft,open_tata,outo_ys,ys,0,1.8948,7.8798,0.9707,19303,6578,4386,15,100,1e-06,512,128,,2026-05-25T15:55:32.386828
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-06,256,64,,2026-05-25T15:58:34.371793
mitra_ft,open_tata,outo_ys,ys,0,3.6738,15.154,0.9257,19303,6578,4386,5,100,5e-08,512,128,,2026-05-25T16:20:11.702060
tabpfn2_talent_ft,open_tata,outo_uts,uts,0,1.0194,7.0018,0.7811,19303,6578,4386,15,100,5e-06,512,128,,2026-05-25T16:34:59.314086
mitra_ft,open_tata,outo_uts,uts,0,1.8333,12.4281,0.7244,19303,6578,4386,5,100,1e-07,512,128,,2026-05-25T16:50:53.565095
